№,YouTube ID,Исходное название,YouTube,Основной плейлист,Порядок,Дополнительные плейлисты,Визуальная рубрика,HEX,Язык / среда,Формат,Урок / часть,Надпись на обложке,Статус,Файл в архиве,Разрешение,"Размер, байт",Проверка перед загрузкой,Основание тематики,Источник визуала,Примечания,Старые плейлисты,SHA-256
1,ex8ibsNSCiA,Expo Electronica 2026: Как MOKO SE превратился в RF-SE для РФ | Партнерство с RFTEX,https://www.youtube.com/watch?v=ex8ibsNSCiA,"MOKO — компания, выставки и интервью",1,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,MOKO SE → RF-SE,Утверждено · прежние 18 сохранены,thumbnails/ex8ibsNSCiA.jpg,1280 × 720,214424,,"Название, текущие плейлисты и исходная обложка",Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,MOKO - Новинки видео; МОКО - Промо ролики; MOKO - Презентации и интервью,36e7a437b174e54d92893dfcf15fb98398bde37c3bf251e231ae4924e1203797
2,AFPlbt1Zhhw,Простой автоматизированный тест источника питания с помощью MOKO SE #3 Стрим с Олегом Германом,https://www.youtube.com/watch?v=AFPlbt1Zhhw,"Автоматизация измерений — стенды, испытания и поверка",3,Стримы MOKO — разработка и измерения; MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Стрим,,ТЕСТ ИСТОЧНИКА ПИТАНИЯ,Готово · проверить новый макет,thumbnails/AFPlbt1Zhhw.jpg,1280 × 720,109751,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - Презентации и интервью,fc197702e92764c6a20c1a7bba328a34cad5897ef736e13497ca8436810763c4
3,OmXJkxET17k,Автоматизация измерений с Олегом Герман стрим #2,https://www.youtube.com/watch?v=OmXJkxET17k,"Автоматизация измерений — стенды, испытания и поверка",9,Стримы MOKO — разработка и измерения; MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Стрим,,АВТОМАТИЗАЦИЯ ИЗМЕРЕНИЙ,Готово · проверить новый макет,thumbnails/OmXJkxET17k.jpg,1280 × 720,123616,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - Презентации и интервью,090d9d7088c5c390b3643b93984953ca0b6fbc20611de31e3edbde43e5960433
4,a6cwVJ20iwU,Стрим-интервью: Олег Герман и Иван Анищенко о MOKO SE + Новогодняя распаковка подарка!,https://www.youtube.com/watch?v=a6cwVJ20iwU,"MOKO — компания, выставки и интервью",2,Стримы MOKO — разработка и измерения,Компания · События,#ED6262,Не подтверждён / не применимо,Стрим / интервью,,РАЗГОВОР О MOKO SE,Готово · проверить новый макет,thumbnails/a6cwVJ20iwU.jpg,1280 × 720,112843,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Новинки видео; MOKO - Презентации и интервью,765fb30aaf8bc6ebf7b01d5bf7435f615183aa06307d1df86adb0899eea51a87
5,OhPQyqKovhA,Стрим #4.2:  Формируем запись в таблицу и структурируем панель подключения к приборам.,https://www.youtube.com/watch?v=OhPQyqKovhA,"Разработка ПО — практика, инструменты и стримы",1,"Стримы MOKO — разработка и измерения; LabVIEW — драйверы, утилиты и плагины",Разработка · Практика,#FF9A48,LabVIEW,Стрим,,ЗАПИСЬ В ТАБЛИЦУ,Готово · проверить новый макет,thumbnails/OhPQyqKovhA.jpg,1280 × 720,112471,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Язык LabVIEW подтверждён описанием автора; основной плейлист практической разработки сохранён, LabVIEW добавлен как дополнительный. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Новинки видео; MOKO - Уроки по программированию и не только,b48299d4642779c94aac16fdee8dccc5a329e874f11d5f8b531567faeb327eaf
6,feEv04DYWbA,Стрим #4.1: Разработка плагина для скоростного считывания данных с устройств.,https://www.youtube.com/watch?v=feEv04DYWbA,"Разработка ПО — практика, инструменты и стримы",2,"Стримы MOKO — разработка и измерения; LabVIEW — драйверы, утилиты и плагины",Разработка · Практика,#FF9A48,LabVIEW,Стрим,,Пишем плагин,Утверждено · прежние 18 сохранены,thumbnails/feEv04DYWbA.jpg,1280 × 720,232492,,Описание автора / хэштег #labview и исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.," Язык LabVIEW подтверждён описанием автора; основной плейлист практической разработки сохранён, LabVIEW добавлен как дополнительный.",MOKO - Новинки видео; MOKO - Уроки по программированию и не только,33c4e652ca3a8c1441334d0d4e15be9efa09168fb61b3fee473491cfe2da008e
7,l3xewCeguhM,Стрим #3: Автоматическое обновление MOKO SE и логирование времени выполнения программы (перезалив),https://www.youtube.com/watch?v=l3xewCeguhM,MOKO SE — возможности и инструкции,4,Стримы MOKO — разработка и измерения,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Стрим,,ОБНОВЛЕНИЕ MOKO SE,Готово · проверить новый макет,thumbnails/l3xewCeguhM.jpg,1280 × 720,89246,Финальное визуальное согласование; выбрать оригинал или перезалив для плейлиста,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,"Оригинал / перезалив одного стрима. Сверить содержание и выбрать основную версию для плейлиста. Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию. Основной плейлист уточнён по описанию: показ функции MOKO SE, а не отдельная разработка или испытание. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.",MOKO - Новинки видео; MOKO - решения и обзоры,140db0cced010b3d335f275507574bdba6835ddb49f7759eab2fd319eced6659
8,Szt2Qw5Gb7o,Стрим #3: Автоматическое обновление MOKO SE и логирование времени выполнения программы,https://www.youtube.com/watch?v=Szt2Qw5Gb7o,MOKO SE — возможности и инструкции,5,Стримы MOKO — разработка и измерения,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Стрим,,ОБНОВЛЕНИЕ MOKO SE,Готово · проверить новый макет,thumbnails/Szt2Qw5Gb7o.jpg,1280 × 720,86513,Финальное визуальное согласование; выбрать оригинал или перезалив для плейлиста,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,"Оригинал / перезалив одного стрима. Сверить содержание и выбрать основную версию для плейлиста. Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию. Основной плейлист уточнён по описанию: показ функции MOKO SE, а не отдельная разработка или испытание. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.",MOKO - Новинки видео; MOKO - решения и обзоры,2b57a232420fbeb961d8f2567d7f0413a6ce258f4de3d50255ea5dfc63b3bcb7
9,nnktD99huyE,Тестирование светодиодной фары с помощью MOKO SE,https://www.youtube.com/watch?v=nnktD99huyE,"Автоматизация измерений — стенды, испытания и поверка",4,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Тест LED-фары,Утверждено · прежние 18 сохранены,thumbnails/nnktD99huyE.jpg,1280 × 720,212559,,"Название, текущие плейлисты и исходная обложка",Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,MOKO - Новинки видео; MOKO - решения и обзоры,4884e7065ed53d600532371777fda6f44e607f44676aeec6311ebf6c6f407740
10,L8DhEf9Mquo,Стрим #2: Обновления в инициализации драйверов и дополнение к раскрутке ошибок,https://www.youtube.com/watch?v=L8DhEf9Mquo,"Разработка ПО — практика, инструменты и стримы",3,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,ИНИЦИАЛИЗАЦИЯ ДРАЙВЕРОВ,Готово · проверить новый макет,thumbnails/L8DhEf9Mquo.jpg,1280 × 720,83822,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO - решения и обзоры,39d7b14f25432fb88334686de0a362fed751ff01b1dbfd7f9634d50956295f9a
